0,1
0,23
1,0
1,8
1,28
1,5
2,23
2,17
2,10
2,9
2,40
2,3
2,6
3,4
3,6
3,2
4,13
4,11
4,12
5,27
5,7
5,1
5,6
6,7
6,5
6,2
7,27
7,6
7,28
8,9
8,1
8,22
9,8
9,18
9,19
9,10
9,2
10,17
10,11
10,2
10,9
11,10
11,17
11,12
11,13
11,4
12,13
12,15
12,29
12,4
12,11
12,20
12,14
12,26
13,4
13,11
13,12
13,14
13,15
13,29
14,15
14,12
14,29
14,13
15,29
15,14
15,13
15,12
15,16
16,24
16,15
17,2
17,10
17,11
18,9
18,19
19,18
19,9
20,21
20,12
20,25
21,25
21,20
21,26
22,8
23,0
23,2
24,25
24,26
25,24
25,29
25,20
25,21
26,24
26,21
26,12
27,28
27,5
27,7
28,27
28,1
28,7
29,12
29,13
29,14
29,15
29,25
35,1
36,7
36,27
36,28
37,22
38,0
38,1
39,0
39,23
40,2
40,23
41,30
42,16
42,24
